budget_year,ministry,department_or_org,strength_actual_1mar,strength_actual_year,strength_est_re_1mar,strength_est_re_year,strength_est_be_1mar,strength_est_be_year,pay_actuals_cr,allowances_actuals_cr,travel_actuals_cr,pay_re_cr,allowances_re_cr,travel_re_cr,pay_be_cr,allowances_be_cr,travel_be_cr
2015-16,Ministry of Textiles,Ministry of Textiles,4628,2014,4615,2015,4615,2016,164.51,3.35,8.46,177.75,4.09,9.34,203.37,6.70,11.85
2015-16,Ministry of Tourism,Ministry of Tourism,492,2014,579,2015,581,2016,20.11,13.41,6.76,21.08,15.90,6.83,23.76,15.84,8.28
2015-16,Ministry of Tribal Affairs,Ministry of Tribal Affairs,197,2014,305,2015,306,2016,8.78,3.99,0.50,10.16,4.65,0.90,11.92,5.46,1.55
2015-16,Union Territories (Without Legislature),Andaman and Nicobar Islands,29863,2014,29863,2015,29863,2016,411.65,674.03,20.30,442.01,749.31,18.17,465.88,811.31,20.09
2015-16,Union Territories (Without Legislature),Chandigarh,26078,2014,25927,2015,26400,2016,602.49,600.00,1.78,644.88,719.06,2.10,685.68,854.68,2.19
2015-16,Union Territories (Without Legislature),Dadra & Nagar Haveli,4127,2014,4189,2015,4189,2016,62.97,63.61,0.68,65.19,72.75,1.05,67.16,86.07,1.63
2015-16,Union Territories (Without Legislature),Daman and Diu,2578,2014,2954,2015,2954,2016,39.19,67.16,1.22,42.81,74.15,1.45,44.10,83.55,1.52
2015-16,Union Territories (Without Legislature),Lakshadweep,4702,2014,5395,2015,5402,2016,75.51,134.28,3.36,78.52,139.56,4.01,84.75,150.60,5.67
2015-16,Ministry of Urban Development,Ministry of Urban Development,16760,2014,23501,2015,23560,2016,506.28,525.14,12.20,515.06,542.77,17.58,530.00,563.08,14.42
2015-16,"Ministry of Water Resources, River Development & Ganga Rejuvenation","Ministry of Water Resources, River Development & Ganga Rejuvenation",8200,2014,11714,2015,11709,2016,275.68,295.50,18.62,348.30,457.21,29.38,390.51,481.71,35.85
2015-16,Ministry of Women and Child Development,Ministry of Women and Child Development,524,2014,717,2015,717,2016,13.44,14.14,0.66,14.13,16.98,0.73,14.61,19.70,0.75
2015-16,Ministry of Youth Affairs and Sports,Ministry of Youth Affairs and Sports,292,2014,309,2015,307,2016,17.89,7.00,1.02,22.04,5.96,1.95,20.00,6.65,2.64
2015-16,TOTAL (excluding Ministry of Railways),TOTAL (excluding Ministry of Railways),1994061,2014,2164077,2015,2218139,2016,30925.58,37897.91,2030.53,34755.27,43909.29,2395.15,37125.08,47264.45,2724.60
2015-16,Ministry of Railways,Ministry of Railways,1333966,2014,1333966,2015,1333966,2016,21926.00,27164.00,1244.00,22689.00,32561.00,1497.00,23606.00,37173.00,1631.00
2015-16,GRAND TOTAL,GRAND TOTAL,3328027,2014,3498043,2015,3552105,2016,52851.58,65061.91,3274.53,57444.27,76470.29,3892.15,60731.08,84437.45,4355.60
