state,fy,lib_receipts_cr,lib_rev_exp_cr,lib_cap_exp_cr,lib_loans_cr,gp_assist_cr,zp_assist_cr,cap_to_rev_pct,rev_self_validated,cap_self_validated,gp_assist_self_validated,zp_assist_self_validated,source_statement,source_url,cap_source_line,rev_source_line,gp_assist_source_line,zp_assist_source_line
Jharkhand,2024-25,,1.1737,,,,,,True,,,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Accounts-Vol-2-2024-25-ENGLISH-FINAL-0693c0f22646dd3-39260604.pdf,,105-   Public Libraries                                    117.37              0.00       ,,
Karnataka,2021-22,0.0559,71.2026,,,72.5058,2.65,,True,,True,True,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Accounts-Vol-II-2021-22-063a98634a74042-25142059.pdf,,"105 Public Libraries                                                   7,120.26           ","198 Assistance to Gram Panchayats                                      7,250.58           ",196 Assistance to Zilla Parishads / District Level Panchayats            265.00           
Karnataka,2022-23,,,,,,,,,,,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Account-Vol-II-2022-23.pdf,,,,
Karnataka,2023-24,,,,,,,,,,,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-3-Part-I-Finance-Accounts-Vol-II-2023-24-Edit-0675c12f157be78-41111978.pdf,,,,
Karnataka,2024-25,,,,,,,,,,,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/3.Finance Accounts Vol.II_Part-I 2024-25_government_of_karnataka.pdf,,,,
Kerala,2021-22,0.2054,34.4066,0.0,,,,0.0,True,True,,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Accounts-2021-22-Vol-II-Eng-063e47e4b139362-81881249.pdf,105 Public Libraries                                                                      ,"105 Public Libraries                                   3,292.57           148.09          ",,
Kerala,2022-23,0.2339,23.7094,,,,,,True,False,,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Accounts-2022-23-Vol-II-Eng-065cda30f2e95e8-02014173.pdf,105 Public Libraries                                                                      ,"105 Public Libraries                                    2,248.87           122.07         ",,
Kerala,2023-24,0.2292,24.7815,0.1388,,,,0.56,True,False,,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Accounts-2023-24-Vol-II-069b7f8d4690d13-96222241.pdf,105 Public Libraries                                                                     1,"105 Public Libraries                                    2,344.90          133.25          ",,
Kerala,2024-25,0.2407,25.6987,0.8505,,,,3.31,True,True,,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finace-Accounts-Vol-II-2024-25-0699d3699c2fc89-06955502.pdf,105 Public Libraries                                                   13.88              ,"105 Public Libraries                                            2,495.70           74.17  ",,
Madhya Pradesh,2021-22,,10.9401,,,,,,False,,,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Accounts-2021-22-Vol-II-MP-English-063aad130258ae4-38673105.pdf,,105    Public Libraries                                                                   ,,
Madhya Pradesh,2022-23,,11.8787,,,,,,False,,,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Accounts-MP-2022-23-Vol-II-English-065ca08c706e6f0-88128429.pdf,,105    Public Libraries                                                                   ,,
Madhya Pradesh,2023-24,,12.9311,,,,,,False,,,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Accounts-2023-24-Vol-II-MP-English-0676554730c12d8-41950225.pdf,,105    Public Libraries                                                                   ,,
Madhya Pradesh,2024-25,,14.1612,,,,,,False,,,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-VOLUME-II-2024-25-Gwalior-MP-English-06932b1b862d749-49571374.pdf,,105   Public Libraries                                                                    ,,
Maharashtra,2023-24,1.5208,154.4983,47.3882,,,,30.67,True,True,,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Accounts-2023-24-VOL-II-0676693fd9db782-28932133.pdf,105 - Public Libraries                                               .. ..                ,105 - Public Libraries                                                       .. .. ..     ,,
Maharashtra,2024-25,6.1495,245.1633,19.5196,,,,7.96,True,True,,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-CD-ENGLISH-FINANCE-ACCOUNTS-VOL-II-06944f1067a9530-56372221.pdf,105 - Public Libraries                                                   .. ..            ,105 - Public Libraries                                         .. .. ..                   ,,
Manipur,2021-22,,1.477,,,,,,True,,,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Vol-II-2021-22-Manipur-14-12-2022-1-06405be99e4d209-35122987.pdf,,105 Public Libraries                                                      147.70          ,,
Manipur,2022-23,,1.7065,,,,,,True,,,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Vol-II-2022-23-Manipur-13-02-2024-065e1f54b005599-31786214.pdf,,105 Public Libraries                                                      170.65          ,,
Manipur,2023-24,,1.7523,,,,,,True,,,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Accounts-Vol-II-2023-24-Manipur-24-03-2025-069c1242980b241-76178901.pdf,,105 Public Libraries                                                      175.23          ,,
Manipur,2024-25,,,,,,,,,,,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Accounts-Volume-II-Manipur-2024-25-069c12547b6c608-78792443.pdf,,,,
